ref,archive,media_count,classification,building_id,class_method,verification,third_party_credit_flag,visual_file_inspected
A0033,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0034,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0035,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0036,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0037,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0038,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0039,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0040,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0041,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0042,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0043,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0044,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0045,True,1,BATIMENT_NOMME_AUTO,palais-secession-vienne,named_alias,IDENTITE_COMPATIBLE_ARTICLE_SITE,False,False
A0046,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0047,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0048,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0049,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0050,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0051,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0052,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0053,True,1,AUTRE_CONTENU,,non_identifiable_message,CATEGORIE_AUTO,False,False
A0054,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0055,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0056,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0057,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0058,True,1,AUTRE_CONTENU,,object_rule,CATEGORIE_AUTO,False,False
A0059,True,1,BATIMENT_NOMME_AUTO,hotel-tassel,named_alias,NOM_EXPLICITE_LEGENDE,False,False
A0060,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0061,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0062,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0063,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0064,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0065,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0066,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0067,True,1,AUTRE_CONTENU,,object_rule,CATEGORIE_AUTO,False,False
A0068,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0069,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0070,True,1,BATIMENT_NOMME_AUTO,maison-coilliot-lille,named_alias,IDENTITE_COMPATIBLE_ARTICLE_SITE,False,False
A0071,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0072,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0073,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0074,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0075,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0076,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0077,True,1,AUTRE_CONTENU,,object_rule,CATEGORIE_AUTO,False,False
A0078,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0079,True,1,AUTRE_CONTENU,,object_rule,CATEGORIE_AUTO,False,False
A0080,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0081,True,1,AUTRE_CONTENU,,object_rule,CATEGORIE_AUTO,False,False
A0082,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0083,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0084,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0085,True,1,AUTRE_CONTENU,,object_rule,CATEGORIE_AUTO,False,False
A0086,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0087,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0088,True,1,AUTRE_CONTENU,,object_rule,CATEGORIE_AUTO,False,False
A0089,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0090,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0091,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0092,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0093,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0094,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0095,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0096,True,1,BATIMENT_NOMME_AUTO,gare-lens,named_alias,NOM_EXPLICITE_LEGENDE,False,False
A0097,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0098,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0099,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0100,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0101,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0102,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0103,True,1,AUTRE_CONTENU,,object_rule,CATEGORIE_AUTO,False,False
A0104,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0105,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0106,True,1,BATIMENT_NOMME_AUTO,maison-de-poore,named_alias,NOM_EXPLICITE_LEGENDE,False,False
A0107,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0108,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0109,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0110,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0111,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0112,True,1,AUTRE_CONTENU,,object_rule,CATEGORIE_AUTO,False,False
A0113,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0114,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0115,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0116,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0117,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0118,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0119,True,1,AUTRE_CONTENU,,object_rule,CATEGORIE_AUTO,False,False
A0120,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0121,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0122,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0123,True,1,AUTRE_CONTENU,,object_rule,CATEGORIE_AUTO,False,False
A0124,True,1,AUTRE_CONTENU,,object_rule,CATEGORIE_AUTO,False,False
A0125,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0126,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0127,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0128,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0129,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0130,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0131,True,1,AUTRE_CONTENU,,object_rule,CATEGORIE_AUTO,False,False
A0132,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0133,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0134,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0135,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0136,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0137,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0138,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0139,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0140,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0141,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0142,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0143,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0144,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0145,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
A0146,True,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
A0147,True,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
